114,90
121,94
165,94
138,87
87,91
109,91
156,93
102,87
170,98
86,97
85,93
87,87
83,90
113,98
122,94
131,89
154,98
105,92
155,100
170,98
85,88
117,94
81,90
172,100
157,96
121,92
88,97
135,95
91,91
134,95
123,88
138,85
164,88
168,86
147,94
126,92
138,90
89,85
170,93
138,97
90,99
81,99
142,91
103,90
129,95
136,90
139,93
133,92
119,98
164,86
88,90
161,99
88,86
133,85
138,96
125,93
132,95
140,94
123,97
125,89
162,94
178,100
102,92
90,87
105,100
169,96
114,99
164,90
101,97
107,95
159,90
115,88
149,92
97,90
88,100
148,86
82,99
129,85
133,95
179,94
130,89
87,97
124,90
151,95
106,86
153,95
146,96
100,87
80,88
127,87
153,94
62,87
105,99
86,93
136,88
144,89
151,86
92,85
123,90
158,99
138,98
120,87
129,100
147,87
110,99
97,99
149,96
123,99
132,86
129,100
159,96
163,88
131,96
176,89
150,95
125,89
114,98
143,87
123,88
94,99
